,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
125,ቈየ,በአትዮጵያ,ሰራ,እንዴ,ሰፊ,ህዝብ,ማህብሎች,ነበረ,ያበዛሬ,አየ,ክልል,እሄን,ማንጸባርቅ,ገባ,ልጅ,ፍጹም,,,,,,,,,,,,,,,,
126,ምትደነቅ,የአድስ,አበባ,ከተማ,ከንትባ,ኢንጂነር,ታከለ,በዝህ,ተደሰተ,በሆነዉ,ስራ,ማገገልህን,ቀጠለ,ራስ,አደቅሃለዉ,ክብር,ምስጋናየ,ይድሬስህ,ደህና,,,,,,,,,,,,,
127,ትክክል,ቤቲዬ,ማህበረሰብ,አይነት,ስብእና,እንዳለ,ዘቀጠ,አየ,"""አዎን",አሰበ,"አይደለንም""",,,,,,,,,,,,,,,,,,,,,
128,ሰውዬ,ስውዬው,ትንሽ,አጥንት,ጣለ,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,“ጌታቸው,አሰፋ,ዜጋ,ኢሰብአዊ,ያዘ,ተቃወመ,የሚያደናቅፉት,እነ,ደመቀ,"ነበሩ""",አቶ,አስመላሽ,ወስላሴ,አይጥ,ምስክር,,,,,,,,,,,,,,,,,
130,ለየ,ጎጠኛውን,አስራት,ወልደየስ,ፎቶ,ፕሮፋይል,ድርግ,አቶ,ቡልቻ,በጎጠኝነት,ስትቸት,ትንሽ,ፋረ,,,,,,,,,,,,,,,,,,,
131,"""ሆቴሎች",የረሰፕሽን,አካባቢ,ጣለ,ሄደ,ልብስ,ደንብ,ለበሰ,እንግዳ,መሰለ,መጣ,ሌባ,ተጠነቀቀ,መልእክት,"አስተላልፍልኝ""",,,,,,,,,,,,,,,,,
132,ውነተኛ,ነዋ,እመብርሀንም,ውሸት,ዜና,ገራ,ወደደ,መሰለ,,,,,,,,,,,,,,,,,,,,,,,,
133,"""የብልጽግና",ጎዳና,ጀመረ,አገር,ክስተት,ጠበቀ,"ነው""",ሲሳይ,አጌና,ጎል,"""ለ",ለውጥ,ነውጡ,"አታንሱ""",ብርሀን,ነጋ,,,,,,,,,,,,,,,,
134,ሰይፍ,ሰፊ,ሀተታ,ጻፈ,ፈለገ,ጋዜጣ,ተቀበለ,,,,,,,,,,,,,,,,,,,,,,,,,
135,ዛሬ,በሶሻል,ሚዲያ,ሀላፊነት,ጐደለ,የምንጸፈው,ጥላቻ,ሴድብ,ውሎ,አድሮ,አገር,አሸናፊ,ተሸነፈ,አፍራሽ,እልቂት,ተከተለ,ደገመ,ደገመ,ገለጸ,ሰሚ,ጠፋ,,,,,,,,,,,
136,ሀገር,ደህንነት,ጠበቀ,ተቋቋመ,ኢንሳ,ራስ,ጠለፈ,በኤመሪካ,የሳይበር,ሞያ,ዶር,ተማርያም,,,,,,,,,,,,,,,,,,,,
137,አቅም,አወቀ,ኖረ,ጥሩ,እናት,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,አማራ,ሚልዮን,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,ህወሀት,አባታዊ,ትግስት,ወጣ,ተገኘ,የህወሀት,ትግስት,ደነቀ,ተቻለ,ዲማ,ነገዎ,ሰሞን,አላማጣ,ከተማ,ትእግስት,ሰላ,,,,,,,,,,,,,,,,
140,እ,እስቲ,ትንሽ,አፍታችው,አያት,ድረስ,ጠራ,ወፍራም,ኩራት,ሰማ,,,,,,,,,,,,,,,,,,,,,,
141,እዛ,በአል,ጠላ,ጠጅ,እሽኮለለ,ላላ,አመት,ዶሮ,ወጥ,በላ,ኰረፈ,መሰለ,አጥንት,ጉሮሮ,ቁጭ,ድምጽ,ተበላሸ,የተፈጠረዉ,,,,,,,,,,,,,,
142,ላከ,ቻለ,ተባበረ,እባካችሁለማማትም,ተዘጋጀ,መልካ,,,,,,,,,,,,,,,,,,,,,,,,,,
143,ጨመረ,አይነት,ከባድ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,ጌታ,ለመዳኒታችን,እየሱስ,ክርስቶስ,ልደት,ቀን,አደረሳችው,,,,,,,,,,,,,,,,,,,,,,,,,
145,ከበተ,ረዳ,ደንብ,አባምጪ,ወደደ,መታ,በር,አትፍችም,አደል,ጠየቀ,አደራ,እንዳትረሽዉ,,,,,,,,,,,,,,,,,,,,
146,ጋሽ,ትራንፕ,ቀስ,"""",ለውጥ,መጣ,መራ,በላ,መራ,ብይ,"""",አይቀሬ,ስልጣን,ፍቅር,ድራግ,አይደል,እንዴ,ዘላበደ,,,,,,,,,,,,,,
147,ወንድም,ቡል,ጥሩ,የሀዋሳው,ሀውልት,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,ፊት,ዝግ,ከራሴጋ,ስብሰባ,ተቀመጠ,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,ቀረ,እኮ,ምግብ,ህንጻ,ሰራ,ገዛ,,,,,,,,,,,,,,,,,,,,,,,,,,
150,ትናንት,ውጥእ,አቋም,ገለጸ,አማርኛ,ለየ,ለካ,መግለጫ,ህወሃት,ጀዋር,ቀየረ,ቀስ,አል,ተርጎሚልን,,,,,,,,,,,,,,,,,,
151,ግእዝ,ተሽኰረመመ,ገባ,ማህጸን,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,ሰም,ክብር,መንግስት,ንብረት,ያለምክር,ቤት,እውቅ,ሽንሽን,ጨረሰ,እኮ,ክቡርነትዎ,,,,,,,,,,,,,,,,,,,,,
153,ሪፐብሊክ,እውቅ,ነፈገ,ወገኛ,ቀበሮ,ሙክት,በራ,አሉ,,,,,,,,,,,,,,,,,,,,,,,,
154,ዋጠ,ጥያቄ,ትክክለኛ,ምላሽ,ሀቢላ,ዱላ,ሀምላስ,ፓርቲ,,,,,,,,,,,,,,,,,,,,,,,,
155,ሰራ,ተከታተለ,ድል,ገጠመ,አለፈ,ሰሞን,አየ,,,,,,,,,,,,,,,,,,,,,,,,,
156,በላ,ቤት,ሞቀ,እቃ,ፍላጎት,ቀላል,ጀመረ,ዝውርውር,ቅብዥብዥ,ቀልብ,የሚቀልበን,አጣ,,,,,,,,,,,,,,,,,,,,
157,ሸዋርቢት,ደብረ,ገነት,ቅድስት,ማርያ,ቤተክርስቲያን,,,,,,,,,,,,,,,,,,,,,,,,,,
158,ደረት,መጥፎ,ልብ,ቀዳዳ,ቈፈረ,ሰይጣን,ጠቈመ,ሳቀ,ተጨነቀ,ሃሃሃሃ,,,,,,,,,,,,,,,,,,,,,,
159,አይይይ,ሱሪ,ተበላሸ,ገባ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,ጠየቀ,ፈለግ,አይደል,ፈነጨ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,ድመት,ፕፍፍፍ,ደሞ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,ብዙ,ሰረረ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,ዝም,በይው,አአወዛጋቢውእሱ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,አየ,"""በፍጹም",ተንሳሳ,"የምንጫወተው""",ዘርአይ,ሙሉ,ሲዳማ,ቡና,"""ከመሀል",ሜዳ,መጣ,ጠንካራ,ኳስ,ቆመ,ቻለ,ዋጋ,"ከፍለናል""",ፋሲል,ተካልኝ,ባህር,ዳር,ከተማ,,,,,,,,,,
165,ኡፍ,ደገመ,አል,መጠጠ,"""ለእርሶና","ለቤተሰቦ""",ዛገ,ሜሴጆች,አወቀ,ደረሰ,,,,,,,,,,,,,,,,,,,,,,
166,እራስህን,ምንድ,አየ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,ድርድር,አባ,ገዳዎች,አካባቢ,ወጣት,በዛ,ብሚንቀሳቀሱ,ጸጥታ,ሀይል,"""በተቀናጀ""",እንቅስቃሴ,,,,,,,,,,,,,,,,,,,,,
168,እዛ,ሄደ,ጠፋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,ቀላል,ጸረ,ሙስሊም,ቀላል,ጸረ,ትግራይ,የድድብና,ጥግ,ጀመረ,ፖለቲከኛ,ቻለ,,,,,,,,,,,,,,,,,,,,,
170,ትግራይ,አጋር,ጠላት,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ጀግና,ሌባ,ታገለ,ሽፍታ,ተምታታ,ዘንድሮ,,,,,,,,,,,,,,,,,,,,,,,,,,
172,አዘነ,መርፌ,ሰካ,ፈራ,ማረ,ሰካ,ፈጣሪ,አወቀ,,,,,,,,,,,,,,,,,,,,,,,,
173,አቦ,ፈታ,ብልጥ,አየ,ነቃ,እዛዉ,ቧ,ቀረ,ጠበቀ,,,,,,,,,,,,,,,,,,,,,,,
174,ካልተዋሃች,ድርግ,ላከ,ጉዳይ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,ደስተኛ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,ዳኒ,ቦይ,እስቲ,ትግራይ,ፍርድ,ቤት,ፕረዚደንት,ፖሊስ,አዛዥ,ትግራይ,ሀይማኖት,መሪ,ከህወሃት,አባልነት,ነጻ,ተደረገ,ከፈለ,ጠየቀ,"""የራስዋን",አረረ,"ታማስላለች""",ብየ,,,,,,,,,,
177,ደብረብርሃን,ሙስሊም,ምግብ,ቤት,በዛ,ማርካቶ,የስልጤናጉራጌ,ሱቅ,በዛ,ቤተ,ክርስትያን,በኦሮምኛ,ቀደሰ,አክራሪነት,,,,,,,,,,,,,,,,,,
178,ዘልዛላ,ንግግር,እግዚአብሄር,ባረከ,ስድብ,ግን,ትምህርት,ተገኘ,,,,,,,,,,,,,,,,,,,,,,,,
179,ፍቅር,ያዘ,ልብ,አሰረ,ተሳበ,ተገለገለ,ሰላም,መንገድ,,,,,,,,,,,,,,,,,,,,,,,,
180,ሀሌ,ማርያ,ማለደ,ሀሌ,ሀሌ,መናፍቅ,ካደ,ሀሌ,ሀሌ,ገብርኤል,መሰከረ,ሀሌ,በላሌ,መልካ,ቀን,,,,,,,,,,,,,,,,,
181,ሰላም,ፍቅር,በዛ,ሰናይ,ሰንበት,—,,,,,,,,,,,,,,,,,,,,,,,,,,
182,አመመ,ሀገራዊ,ምርጫ,ረቂቅ,ጊዜ,ሰሌዳ,ተመለከተ,ባለድርሻ,አካል,ውይይት,ተደረገ,ተገኘ,ባለድርሻ,አካል,አየ,ግብአት,ሰጠ,ጠበቀ,ቦርድ,ተገኘ,መረጃ,አመለከተ,,,,,,,,,,
183,ኡፋ,ኤጭ,ዘፈነ,ዘፈን,ተቀበለ,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,ሰሞን,አማራ,ክልል,ሰለፍ,ታየ,ስረአት,ክልል,ወጣት,ፈጠረ,ህውን,አገር,ሀብት,ህይወት,አጠፈ,ሰልፍ,ድርግ,አበባ,ረገጠ,ቅጠል,በጠሰ,መልእክት,ተላለፈ,ሚሊዮን,አል,,,,,,,,
185,በዳሃ,እንባ,በዳሃ,ደም,ሰርክ,አጠበ,ፍርድ,ቀረበ,ምርጫ,ቀረበ,በቀለ,ወያ,,,,,,,,,,,,,,,,,,,,
186,ለክብርት,ወረረ,ዳግማዊት,ሞገስ,አዲስ,አበባጎሃጽዮን,መንገድ,ነደለ,ስለተገባበጠ,ባህል,ስፖርት,ፌስቲቫል,ተካሄደ,ገበጣ,ማጫዎቻ,እንዲያቀ,,,,,,,,,,,,,,,,
187,ነዛ,ደርግ,ግዜ,ኪሎ,ቤተመንግሰት,"""ቅልብ""",ተባለ,ገብ,ታማኝ,ደምብ,ተቀለበ,,,,,,,,,,,,,,,,,,,,,
188,ተገኘ,መሪ,አገር,ዞረ,ወገን,ችግር,ፈታ,ዳከረ,መሪ,ምስጋና,ገባ,,,,,,,,,,,,,,,,,,,,,
189,ኧረ,ገላጋይ,ሰወች,እንዴ,ሽማግሌ,ፈራ,በላ,ተወ,ተወ,,,,,,,,,,,,,,,,,,,,,,,
190,"""",ቸገረ,ወለጋ,ወያኔ,ጠፋ,"አለባቸው""",መንግስቱ,ሀማርያም,,,,,,,,,,,,,,,,,,,,,,,,
191,ጠቀለለ,ሚንስትር,አቢይ,ደቡብ,አፍሪካ,ቆይታ,ፕሬዝዳንት,ሲሪል,ራማፎሳ,ኢትዮጵያዊ,ተከበረ,ኖረ,ህጋዊ,ፈቃድ,ሰጠ,ቀረበ,ጥያቄ,ተቀባይነት,ግኝ*,ይፋ,ድርግ,,,,,,,,,,,
192,ደንብ,ዳመጠ,ጥሩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,ተቸ,ፊት,ወሬ,ምንጭ,ጠራ,ፈለገ,,,,,,,,,,,,,,,,,,,,,,,,,,
194,የሰወች,ሰም,ከቀደምት,ነዋሪወችንን,ሰሚ,ደጋማ,ቦታ,የሰወች,ወጣ,ቁርኝት,ግልጽ,ቦታ,ባለቤትነት,ተናገረ,ወጣ,ትግራይ,ለየ,ቀደም,ጠቀሰ,ምግብ,ደገመ,ካርቤቶ,ወዘተ,,,,,,,,,
195,ስልጣን,አመጠ,ህዝብ,ብሶት,ዘነጋ,ግድ,ለም,ገፋ,ከፍታ,ወጣ,በርታ,እውነት,ተሸነፈ,ድል,ዴሞክራሲያ,,,,,,,,,,,,,,,,,
196,መልካ,ግን,ክቡርነቶ,ባረከ,በራ,ፍጥረት,ጐን,,,,,,,,,,,,,,,,,,,,,,,,,
197,ውይ,ደላ,ግን,ግን,ቅርብ,ጓደኛ,ጫት,ጠፋ,አሉ,ፎቶ,ተነሳ,ቀደም,,,,,,,,,,,,,,,,,,,,
198,አገር,ወደደ,ኧን,ፕሮፋይል,ፒክቸር,አረገ,ግን,አበረ,ተኰሰ,አላቹሳ,,,,,,,,,,,,,,,,,,,,,,
199,ሃሃሃሃ,ቀበሌዉ,እንኳንም,ትዊተር,ከጸብ,ጫረ,ቆጥረዉህ,መታወቂያ,ኖረ,ድርግ,,,,,,,,,,,,,,,,,,,,,,
200,ሀዋሳ,ጥር,አመመ,ደሬቴድ,አስር,መኪና,ተጫነ,ኩንታል,አዮዲን,ጨው,ለየ,ሀገር,ክፍል,ተሰራጨ,ያዘ,ምግብ,መድሀኒት,ቁጥጥር,ባለስልጣን,ገለጸ,,,,,,,,,,,,
201,ማረ,ገደለ,ተባለ,ዛር,ዘመን,ሰራ,እንደሆን,እርግጠኛ,ሃሃሃ,,,,,,,,,,,,,,,,,,,,,,,
202,መሬት,ግል,ጥቅም,ጉዳት,አለውመፍቴ,ከተማ,ከበበ,ገበሬ,ተነሳ,ግዴታ,ከተማ,መሬት,ሸጠ,ለወጠ,መፍቀድገጠርን,ከለከለ,,,,,,,,,,,,,,,,
203,ባላገር,ዘፈን,በቀር,አወቀ,ገረመ,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,ኛ,አዋቂ,ቀደመ,ቀለለ,አለፈ,ቀለለ,ቀለለ,ለእር,እውቀት,ሰወረ,ለም,መዝሙር,"""አንተ",ቀድሞ,የኋላ,"አወክ""",,,,,,,,,,,,,,,,
205,መረራ,ሰውነት,ግዙፍ,ቀረ,ነደለ,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,አዲስ,አበባ,ከተማ,መረጠ,መንግስት,ተዳደረ,ከፈለ,ግብር,በዛ,ቦታ,ግብር,ከፈለ,በዛ,መንግስት,ሀላፊነት,,,,,,,,,,,,,,,,,
207,ትክክል,ምናለበት,ጉልበተኛ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,አባት,ዘመድ,ዛር,ኰራ,ደቡብ,አቸፈር,ዱርቤቴ,ደብረ,ሰላም,ቅዱስ,ሚካኤል,ቤተክርስቲያን,ዛሬ,መረቀ,ዱር,ቤት,ሙስሊም,ብር,አበርክተዋ,ዝንታለም,አማራ,,,,,,,,,,,
209,ዛር,ስቴዲየም,ገባ,ነጻ,ዛሬ,አይን,ምስክር,,,,,,,,,,,,,,,,,,,,,,,,,
210,ምሽት,በቂ,ፍቅር,መሰለ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,ለቀቀ,መገናኛ,ብዙ,ሰማ,ለየ,ሰማ,የደንቢዶሎ,ዩኒቨርሲቲ,ገታ,መራ,ወላጅ,,,,,,,,,,,,,,,,,,,,,
212,"""ወንድሙን",ገደለ,ወንድም,ከፋ,ደጅ,ቀበረ,ደም,"እንዲከረፋው""",ስነቃል,,,,,,,,,,,,,,,,,,,,,,,
213,ቈጠረ,ፊት,ቀጠለ,መስመር,ደገመ,ቅርብ,ሰማ,እርግጠኛ,,,,,,,,,,,,,,,,,,,,,,,,
214,መላክዬየኔ,ጌታ,ሰላም,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,እላለው,ድል,ዲሞክራሲ,ድል,ዲሞክራሲ,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,አል,ጥሩ,አለፈ,ብር,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,እኮ,"""ምርጥ","ዘር""",ሽፍታ,አማራ,ሶማሌ,ደረደረ,ገሎ,ፎከረ,የሚሽቀዳደመው,,,,,,,,,,,,,,,,,,,,,,
218,ቤተሰብ,ጨዋታ,ፖለቲከኛ,ጋዜጠኛ,ልዩ,ገና,አል,ዉድድር,ግሩም,ዝግጅት,በተጨማሪ,በረታ,ገባ,አዘጋጅ,እሸት,ለሰነ,ተመሰገነ,ወደደ,,,,,,,,,,,,,,
219,ጥሩ,እይታ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,ቅን,ልብ,ተወዳጀ,ከፋ,ሄደ,ሄደ,ማርያም,ንጹህ,የዋህ,ልብ,አዘነ,ጽሁፍ,አነሳ,አነሰ,እህት,ድርግ,,,,,,,,,,,,,,,,
221,መልካ,ስራ,ግዜ,የዘወትር,ጸሎት,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,ጫት,አይነት,ገለምሶ,አወዳይእንደሚባለው,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,ክፉ,“አንተ,ንጹህ,ነህ”,ዳኛ,ረገመ,ብዙ,የተወገዘ,በደለኛ,አመነ,ግን,መልካ,ብዙ,በረከት,ወረደ,ምሳሌ,,,,,,,,,,,,,,,,
224,ደረሰ,እንጀራ,እንዲ,በጠሰ,ከበደ,ውበት,ሞገስ,ፍሬ,ሀሳብ,,,,,,,,,,,,,,,,,,,,,,,
225,ዶማ,ደብተራነትን,ግኝ*,ብለክ,ደብተራ,መረጠ,ፈለገ,ደነዝ,,,,,,,,,,,,,,,,,,,,,,,,
226,ጠፋ,"""","""",ግን,ንጥት,ነጫጭባ,ውሸት,,,,,,,,,,,,,,,,,,,,,,,,,
227,ሀሳብ,ነጻነት,ከለከለ,መንግስት,ብልጽግና,ተወራ,"""ጽ""ን",መሀል,ውጥእ,ስማ,ትክክለኛ,ማንነት,,,,,,,,,,,,,,,,,,,,
228,ሃሃ,ለኮስኩኮአይኔ,ሁሌ,እንዲ,ወይስ,ኢንስታ,እንደከየፈችው,በዛ,ቀረ,ሺ,ሚሊዮን,ቢሊዮን,ኢን,ማለ,ማይንድ,,,,,,,,,,,,,,,,,
229,ይሄን,መልእክት,ለመነ,ደረሰ,ሼር,ሼር,ሼር,,,,,,,,,,,,,,,,,,,,,,,,,
230,እውነት,ቀልድ,መታ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,ዳር,ቆመ,አየ,ጊዜ,ዳር,ቆመ,አየ,መብት,ተሰለፈ,ሰጠ,የኢዜማ,መሪ,ብርሀን,ነጋ,ፕሮፌሰር,ዛሬ,ነጋ,ቦንገር,,,,,,,,,,,,,,
232,በስረአት,አልተጠቀምንበት,ሀገር,ሀብት,ባከነ,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,ልደት,ዳቦ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,ባህል,ተሸነፈ,ትንሽ,ግር,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,የጅዋር,ተፈጥሮ,ገረመ,ጥሩ,መሪ,ጣለ,ደፋ,ቀና,ችግር,ከምዬ,ኢቲዬጺያ,,,,,,,,,,,,,,,,,,,,,
236,ጀለሴ,ጠመዘዘ,ወደደ,ራቀ,መለሰ,አይሻ,,,,,,,,,,,,,,,,,,,,,,,,,,
237,እንዴ,ደሞ,ላከ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,ግን,ደሞ,ንጉስ,መልካ,ስራ,ኖረ,ፈጸመ,ኖረ,ተንኮል,ተራራ,ገዘፈ,ረሳ,በተለይ,ሙስሊም,ኢትዮጵያዊ,በአግላይ,ፖሊሲ,ብዙ,ተሰቃየ,ኖረ,አመመ,ቀሀ,ክፉ,ተንኮ,,,,,,,,
239,አሜን,‘እዝጌር,ታታ,ጠላ,ትዊት,መለሰ,ድል,ዲሞክራሲ,,,,,,,,,,,,,,,,,,,,,,,,
240,አሜን,አሜን,አሜን,መልካ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,የአፍላነት,ፍቅር,ህይወት,ማህሙድ,አህመድ,ዘፈን,ቅርብ,ተቈራኘ,መሃሙድን,ሳበ,ዛር,ድረስ,ዘፈን,ቦታዉና,ያቺ,ቆንጆ,ልጅ,ትዝ,መሃሙድን,ረሳ,ፍቅር,ረሳ,ፍቅር,ደሞ,ረሳ,,,,,,,
242,እሴት,መጠጥ,ገንዘብ,አላማቸዉን,ሰአት,ኢቲዬጺያ,ዉስጥ,አሉ,በዚ,ሄኖክ,ጋቢሳ,ተመሰገነ,ገባ,,,,,,,,,,,,,,,,,,,
243,አብይ,ጠመደ,አሰረ,መሰለ,አሰረ,እድሜ,አስራዎች,ገባ,እስክንድር,አረገ,አሰረ,አሰረ,,,,,,,,,,,,,,,,,,,,
244,ሰይፍ,ዋነኛ,ስራ,ዘና,በጎ,አድራጎት,ድርጅት,መራ,ግል,ዜጋ,ያለነሰ,ድርግ,በላ,“ማሳቅን”,ቀለለ,አየ,አይን,ግን,ንቀት,መሰለ,,,,,,,,,,,,
245,ማርቆስ,ወንጌል,ምእራፍ,እንዲህም,አለም,ሄደ,ወንጌል,ፍጥረት,ሰበከ,አመነ,ጠመቀ,ዳነ,አመነ,ግን,ፈረደ,,,,,,,,,,,,,,,,,
246,ኢማጅን,እንቅፋት,መታ,ሚዲያ,ሞገደ,ተቈጣጠረ,ሀገር,አመሰ,ብሄር,መራ,ታግተውበት,ዝም,ባሻ,የዝንብ,ድንግል,ሩቅ,ለየ,,,,,,,,,,,,,,,
247,አሳቻ,መንገድ,ለየ,ጠበቀ,ማጅራት,መታ,አሳቻ,ቦታ,ለየ,አግንቼህ,እዳ,ምከፍለው,ዛሬ,ያዘ,ትንሽ,ታገሰ,,,,,,,,,,,,,,,,
248,ባልደራስ,ህጋዊ,ፓርቲ,ስብሰባ,ከለከለ,ህጋዊ,ተቀባይነት,ትናንት,አመቱ,ሙሉ,ህጋዊ,ፍቃድ,ሰበሰበ,ሽፋን,ሰጠ,ነበረ,መንግስት,ዛሬ,ህጋዊ,ስርአት,ገባ,ከለከለ,አግባብነት,ድርጊት,,,,,,,,
249,በሬ,ሻኛ,አረገ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,ሻይ,ቡና,ውይይት,ማህበራዊ,ሚዲያ,ጠቀመ,ዙሪያ,,,,,,,,,,,,,,,,,,,,,,,,,
251,ሰማ,ምነው,አለፈ,ቀለለ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,በስመ,አብ,ወወልድ,ወመንፈስ,ቅዱስ,አሀዱ,አምላክ,አሜን,እመቤት,ቅድስት,ባእታ,ማርያ,ክብረ,አል,ሰላም,ደረሰ,ጸጋ,መለሰ,ሆይ,ቅዱስ,ትለምኝልን,ገባ,ፍጥረት,በለጠ,,,,,,,,
